id,input_text,label
1,"I was charged twice for my monthly subscription on August 1st. Please refund the extra charge.",billing
2,"How do I update my credit card details for automatic billing?",billing
3,"My invoice shows a fee of $49 instead of the agreed $29 promotional rate.",billing
4,"Can I get a VAT invoice for my company tax returns for last quarter?",billing
5,"I upgraded to the Pro plan yesterday but my billing statement still says Basic plan.",billing
6,"Where can I download receipts for past payments?",billing
7,"The checkout page keeps failing when I try to pay with my Visa card.",billing
8,"Is there an annual discount if I switch from monthly billing?",billing
9,"I was charged even though I canceled my free trial three days ago.",billing
10,"Why is there an unexpected $15 charge on my bank statement from TuneLab?",billing
11,"I received a payment failure notification but my card details are valid.",billing
12,"Can you split our enterprise bill across two different department budgets?",billing
13,"I need to update the billing contact email address on our account.",billing
14,"Why was I charged sales tax when our non-profit organization is tax-exempt?",billing
15,"Can I request a 14-day extension on my pending invoice payment?",billing
16,"I paid via wire transfer last Friday but my account is still marked as overdue.",billing
17,"Our finance department needs a formal quote before we can pay the invoice.",billing
18,"I forgot to apply my discount promo code SAVE20 during checkout. Can it be applied retroactively?",billing
19,"I tried to upgrade my tier but received error code PAY_301.",billing
20,"Please change my billing currency from USD to EUR.",billing
21,"I cannot log in to my account because 2FA code is not arriving on my phone.",authentication
22,"I forgot my account password and the reset email link has expired.",authentication
23,"How do I set up Single Sign-On (SSO) with Okta for my organization?",authentication
24,"I got locked out after three failed password attempts. Please unlock my profile.",authentication
25,"Can I change the email address associated with my primary login?",authentication
26,"The Google OAuth sign-in button returns an invalid redirect URI error.",authentication
27,"My session keeps timing out every 5 minutes while I am actively working.",authentication
28,"How do I revoke API access tokens that were generated for a former employee?",authentication
29,"I lost access to my authenticator app. How can I use recovery backup keys?",authentication
30,"Can we enforce mandatory multi-factor authentication (MFA) for all team members?",authentication
31,"When I try to sign in with GitHub, I get a permission denied error page.",authentication
32,"How do I configure SAML 2.0 authentication for Azure AD?",authentication
33,"My team member did not receive their workspace invite email.",authentication
34,"I logged in on a new laptop and now I cannot see my workspace projects.",authentication
35,"Why does the login page keep looping back to the password prompt without error?",authentication
36,"Is hardware security key (Security Key / FIDO2) supported for login?",authentication
37,"I need to transfer ownership of the admin account to another manager.",authentication
38,"My magic link login email is arriving 30 minutes late and expiring.",authentication
39,"Can I restrict user logins to specific IP address ranges?",authentication
40,"I am logged in but receiving a 403 Unauthorized error on all subpages.",authentication
41,"The app crashes every time I export a dataset containing more than 5,000 rows.",technical_issue
42,"API requests are failing with HTTP 500 Internal Server Error when querying evaluation endpoint.",technical_issue
43,"The web dashboard displays a blank white screen on Safari browser version 16.4.",technical_issue
44,"CSV upload gets stuck at 99% processing and never completes.",technical_issue
45,"Latency spikes up to 8 seconds during batch evaluation of 100 prompts.",technical_issue
46,"The confusion matrix widget is rendering overlapping text labels on mobile devices.",technical_issue
47,"WebSocket connection disconnects unexpectedly during model evaluation runs.",technical_issue
48,"Getting CUDA out of memory error message in backend worker process log.",technical_issue
49,"Filtered search results in the dataset viewer are returning incorrect totals.",technical_issue
50,"Data export to JSON format drops special unicode characters.",technical_issue
